[0,0] 1046287792331595219061944529269663931895808000000000000000000000000000000000000
[1,0] -432420017318544783650797667042382494638080000000000000000000000000000000000
[1,1] -6166313335188319461501393705017646071159040000000000000000000000000000000
[2,0] 318636568755712104910451376876091087570944000000000000000000000000000000
[2,1] 3400224272680267350859802844946934688670080000000000000000000000000000
[2,2] 163526738403207225411310628914385850045702000000000000000000000000
[3,0] -78784000458724875494046297768822126766080000000000000000000000000000
[3,1] 1666369785986657289314749499939350832551680000000000000000000000000
[3,2] -4374177763874249224643552696807599594951350000000000000000000000
[3,3] 5932245266109295838583345085860525746879343437500000000000000
[4,0] 27585029025617312796714850374073234296576000000000000000000000000
[4,1] -707510881189413296215915032287874628007040000000000000000000000
[4,2] 2433710941276863401289448399264356621603994500000000000000000
[4,3] -2956712171206167789355673623428045144259717968750000000000
[4,4] 1605947077319969660296362470445556806553468918212890625
[5,0] -3804977492718423485876516049782566118400000000000000000000000
[5,1] 42708709924450154900550352695860583976224000000000000000000
[5,2] -236629837042569118482565349999489391710685000000000000000
[5,3] 445864348316739430233101094961910440649985703125000000
[5,4] -311134535843611379111123673185810178326032500000000
[5,5] 73916801901950644351881363035981206178174250000
[6,0] 701371454716940040404797974285085155072000000000000000000
[6,1] -1562519533763357349996605949462215928240000000000000000
[6,2] -3239608297583257815220116582730664028528375000000000
[6,3] 8272406802775616537970438525337767824028398437500
[6,4] -1453926877471849806893399302837075197204000000
[6,5] -1378093317482377164236089492985350340880000
[6,6] -32090945684614270846121407306015752156
[7,0] -32762871963764067359259426421974769920000000000000000
[7,1] 148400254142484032816933796581934970800000000000000
[7,2] -83745955158282283520179500895879935069375000000
[7,3] 11740867875542844748730860307041376754000000
[7,4] -4186372454180757144088509621864812895000
[7,5] 649766707718044227111671819822651808
[7,6] -26443912396475901348534204684720
[7,7] 113651462665302479047132560
[8,0] 573241901257818560012803903569301488000000000000
[8,1] 4651317448787336490589663311012905400000000000
[8,2] 1450703432085435358105137905506419833343750
[8,3] 32110949830720236975102577813380675000
[8,4] 26704053247732785202072793022720
[8,5] 41795518395289086441977640
[8,6] -41794150835034123580656
[8,7] -5094034186182686310
[8,8] -25512094964159
[9,0] -3443855973739579167786917857326240000000000
[9,1] 2838124059058709451007396242822399000000
[9,2] -591188558932690854867280753536880000
[9,3] 26190183002406119746443553783680
[9,4] -113647757443645217294685600
[9,5] 5056092038186441316
[9,6] -25587161604
[9,7] 18155340
[9,8] -6696
[9,9] 1
[10,0] 68414985806696954849736000000
[10,1] 12090387178191164120132197500
[10,2] 71613201503725451570700216
[10,3] 53263835122054576937535
[10,4] 5150977218933696774
[10,5] 25512103267200
[10,6] 8184
[11,0] -453039686280000
[11,1] 96687754014528
[11,2] -1304194222980
[11,3] 4850017536
[11,4] -7121736
[11,5] 4464
[11,6] -1
[12,0] 1
